Date,Strategy A (Equal Wt),Strategy B (Take-Profit),Strategy C (Proportional),BM1: EW Fixed,BM2: EW Rebal
2025-02-25,1.0707788513831948,1.0543013835048223,1.1203514819413842,1.0636579837547824,1.0636579837547815
2025-02-26,1.051993863816501,1.0495735771669148,1.1029321435750823,1.056476384769492,1.0564763847694911
2025-02-27,1.058900788367906,1.0523918724683403,1.1073855325906188,1.0574354027171422,1.0574354027171413
2025-02-28,1.069100494430321,1.0562724011191134,1.115638281108876,1.0674464092419336,1.0674464092419327
2025-03-03,1.0643978027363927,1.0583334240908853,1.1222840908939107,1.060910840785495,1.0609108407854941
2025-03-04,1.0389269532675445,1.056992729296224,1.0954450114832393,1.0386458757240908,1.03864587572409
2025-03-05,1.0435826208298213,1.0584316032884546,1.0973159893968003,1.043288030262327,1.0432880302623264
2025-03-06,1.0443369527564637,1.0602715762043633,1.099648196120099,1.041704538228804,1.0417045382288033
2025-03-07,1.0487661973130984,1.061737922814237,1.106782943894896,1.056381265316733,1.0563812653167324
2025-03-10,1.0448279095934057,1.06303914300651,1.1054758322055653,1.0559518966500936,1.055951896650093
2025-03-11,1.043946586036241,1.0619228768250963,1.1015217323809408,1.0398983000560402,1.0398983000560396
2025-03-12,1.0383962573728265,1.058828901001351,1.0898174290844909,1.0364994973716721,1.0364994973716715
2025-03-13,1.0426089825578746,1.0619140773499256,1.0902838040081348,1.0359849508131718,1.035984950813171
2025-03-14,1.0501092355617831,1.0616001193342601,1.0938413151428805,1.0492787155536107,1.0492787155536096
2025-03-17,1.0576962033994157,1.0639325628847456,1.101896227209951,1.0601394341548234,1.0601394341548225
2025-03-18,1.0595587686872583,1.0637754507686044,1.1012094169368716,1.0567715748956301,1.0567715748956292
2025-03-19,1.0748241456470093,1.0622030989771036,1.1072777047707398,1.064710120981691,1.0647101209816903
2025-03-20,1.07902625614856,1.0638074155486121,1.111289267718911,1.061735552720662,1.0617355527206611
2025-03-21,1.0794903755856866,1.0601689063954705,1.1082969294455904,1.0594477931323325,1.0594477931323316
2025-03-24,1.081802800616888,1.0583470968429656,1.1106888166137665,1.0659497187012112,1.0659497187012106
2025-03-25,1.0711765716275623,1.0481660903484995,1.1021176123123915,1.0645549903928309,1.0645549903928297
2025-03-26,1.074340928181314,1.0487386328656783,1.1100335160693602,1.0695032147275574,1.0695032147275563
2025-03-27,1.0761654087188852,1.0475245769657417,1.117039280841403,1.0682704405782173,1.0682704405782164
2025-03-28,1.072116832920746,1.0514228925241795,1.1132956811406605,1.0616968347398734,1.0616968347398728
2025-03-31,1.0781235422421767,1.0526719197038812,1.1251867317742403,1.0721804526545005,1.0721804526544998
2025-04-01,1.0547283578118922,1.0464797619401858,1.0947970965720246,1.06850109932681,1.0685010993268094
